group	colour	size	showSelected2	fill
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#FF0000	6	Sampled	#FF0000
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
1	#4682B4	3	Population	#4682B4
